school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED,Level,Year
Arcola ES,713,53.2,46.8,≤5.0,10.0,18.0,65.4,≤5.0,≤5.0,≤5.0,50.6,75.6,10.2,Elementary School,2012-2013
Ashburton ES,794,50.8,49.2,≤5.0,15.6,12.8,14.0,≤5.0,48.4,8.9,13.2,13.2,15.9,Elementary School,2012-2013
Bannockburn ES,385,50.9,49.1,≤5.0,8.6,≤5.0,6.5,≤5.0,73.0,9.4,10.9,≤5.0,7.8,Elementary School,2012-2013
Lucy V. Barnsley ES,663,56.1,43.9,≤5.0,15.5,11.9,26.7,≤5.0,38.9,6.6,15.2,30.5,13.7,Elementary School,2012-2013
Beall ES,777,52.1,47.9,≤5.0,24.6,14.0,17.1,≤5.0,35.4,8.8,19.3,25.4,7.7,Elementary School,2012-2013
Bel Pre ES,488,49.4,50.6,≤5.0,5.7,44.7,38.5,≤5.0,7.6,≤5.0,46.5,67.2,7.2,Elementary School,2012-2013
Bells Mill ES,578,52.9,47.1,≤5.0,22.5,12.1,7.1,≤5.0,53.1,≤5.0,11.4,11.6,7.3,Elementary School,2012-2013
Belmont ES,318,51.3,48.7,≤5.0,6.3,7.5,10.4,≤5.0,71.1,≤5.0,≤5.0,8.8,12.6,Elementary School,2012-2013
Bethesda ES,512,51.4,48.6,≤5.0,11.5,9.0,10.7,≤5.0,61.5,7.2,8.0,5.7,9.4,Elementary School,2012-2013
Beverly Farms ES,576,49.7,50.3,≤5.0,28.5,≤5.0,10.6,≤5.0,49.5,6.4,7.3,≤5.0,6.8,Elementary School,2012-2013
Bradley Hills ES,507,52.3,47.7,≤5.0,11.2,≤5.0,9.7,≤5.0,67.1,9.7,7.1,≤5.0,≤5.0,Elementary School,2012-2013
Broad Acres ES,693,51.8,48.2,≤5.0,6.6,16.5,76.2,≤5.0,≤5.0,≤5.0,74.5,94.8,6.6,Elementary School,2012-2013
Brooke Grove ES,386,51.6,48.4,≤5.0,15.8,21.8,14.2,≤5.0,45.1,≤5.0,12.4,24.9,15.0,Elementary School,2012-2013
Brookhaven ES,432,55.6,44.4,≤5.0,6.5,30.3,49.3,≤5.0,11.6,≤5.0,45.1,64.6,22.5,Elementary School,2012-2013
Brown Station ES,521,51.1,48.9,≤5.0,8.6,34.7,40.7,≤5.0,10.7,≤5.0,27.4,62.6,16.7,Elementary School,2012-2013
Burning Tree ES,506,49.8,50.2,≤5.0,16.4,≤5.0,6.9,≤5.0,65.2,7.7,10.5,≤5.0,13.4,Elementary School,2012-2013
Burnt Mills ES,499,53.3,46.7,≤5.0,≤5.0,66.7,20.6,≤5.0,7.0,≤5.0,26.9,65.1,6.0,Elementary School,2012-2013
Burtonsville ES,682,49.0,51.0,≤5.0,17.0,60.1,11.6,≤5.0,6.2,≤5.0,21.8,47.9,5.4,Elementary School,2012-2013
Candlewood ES,360,49.7,50.3,≤5.0,18.1,11.1,15.8,≤5.0,48.1,6.7,13.9,17.5,7.2,Elementary School,2012-2013
Cannon Road ES,420,52.9,47.1,≤5.0,10.0,36.4,39.5,≤5.0,9.0,≤5.0,17.6,58.6,13.8,Elementary School,2012-2013
Carderock Springs ES,409,54.3,45.7,≤5.0,13.7,≤5.0,7.6,≤5.0,72.4,≤5.0,≤5.0,≤5.0,10.3,Elementary School,2012-2013
Rachel Carson ES,934,48.7,51.3,≤5.0,13.2,≤5.0,16.4,≤5.0,59.5,6.2,12.6,16.7,9.0,Elementary School,2012-2013
Cashell ES,326,58.0,42.0,≤5.0,11.7,13.5,19.6,≤5.0,47.9,6.7,10.1,21.2,14.1,Elementary School,2012-2013
Cedar Grove ES,528,50.8,49.2,≤5.0,36.2,10.2,10.6,≤5.0,37.9,≤5.0,14.0,12.7,7.0,Elementary School,2012-2013
Chevy Chase ES,523,51.1,48.9,≤5.0,≤5.0,10.5,9.6,≤5.0,70.4,≤5.0,6.3,12.2,6.3,Elementary School,2012-2013
Clarksburg ES,264,52.7,47.3,≤5.0,39.4,14.0,14.0,≤5.0,26.5,5.7,20.5,22.0,12.5,Elementary School,2012-2013
Clearspring ES,624,50.6,49.4,≤5.0,14.3,11.9,19.1,≤5.0,47.8,6.9,9.1,20.0,12.2,Elementary School,2012-2013
Clopper Mill ES,436,51.4,48.6,≤5.0,6.9,40.1,42.4,≤5.0,7.3,≤5.0,29.8,71.6,14.4,Elementary School,2012-2013
Cloverly ES,452,53.5,46.5,≤5.0,15.9,20.1,18.6,≤5.0,38.5,6.6,12.8,16.8,20.4,Elementary School,2012-2013
Cold Spring ES,363,54.5,45.5,≤5.0,35.8,≤5.0,6.6,≤5.0,47.4,7.7,6.6,≤5.0,5.5,Elementary School,2012-2013
College Gardens ES,837,49.0,51.0,≤5.0,22.5,17.0,13.1,≤5.0,40.1,7.2,12.8,16.7,5.3,Elementary School,2012-2013
Community Montessori Charter,67,46.3,53.7,≤5.0,≤5.0,28.4,25.4,≤5.0,35.8,6.0,≤5.0,17.9,≤5.0,,2012-2013
Cresthaven ES,482,53.9,46.1,≤5.0,11.4,37.1,44.0,≤5.0,5.4,≤5.0,28.2,70.3,13.3,Elementary School,2012-2013
