school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Arcola ES,725,52.6,47.4,≤5.0,7.9,18.2,69.1,≤5.0,≤5.0,≤5.0,43.6,74.9,9.5,Elementary School,2014-2015
Ashburton ES,899,50.2,49.8,≤5.0,15.5,14.1,13.6,≤5.0,47.6,9.0,10.9,12.6,12.7,Elementary School,2014-2015
Bannockburn ES,407,51.8,48.2,≤5.0,11.5,≤5.0,9.1,≤5.0,66.8,9.6,9.8,≤5.0,≤5.0,Elementary School,2014-2015
Lucy V. Barnsley ES,686,58.2,41.8,≤5.0,14.1,10.2,30.6,≤5.0,38.8,6.3,14.0,29.6,14.7,Elementary School,2014-2015
Beall ES,800,55.0,45.0,≤5.0,21.6,13.9,22.3,≤5.0,34.6,7.5,14.9,26.1,9.9,Elementary School,2014-2015
Bel Pre ES,545,53.9,46.1,≤5.0,6.1,42.9,40.4,≤5.0,6.2,≤5.0,45.7,70.3,9.5,Elementary School,2014-2015
Bells Mill ES,611,50.2,49.8,≤5.0,25.4,11.1,8.2,≤5.0,49.1,6.1,7.7,9.5,7.9,Elementary School,2014-2015
Belmont ES,309,47.6,52.4,≤5.0,6.1,5.5,10.7,≤5.0,74.8,≤5.0,≤5.0,6.8,9.7,Elementary School,2014-2015
Bethesda ES,519,53.8,46.2,≤5.0,14.8,7.5,9.1,≤5.0,61.3,7.3,12.7,6.7,11.6,Elementary School,2014-2015
Beverly Farms ES,614,49.5,50.5,≤5.0,28.8,6.7,8.5,≤5.0,49.2,6.7,6.7,5.5,7.0,Elementary School,2014-2015
Bradley Hills ES,632,50.8,49.2,≤5.0,10.3,≤5.0,9.7,≤5.0,67.4,10.9,5.9,≤5.0,5.1,Elementary School,2014-2015
Brooke Grove ES,402,53.2,46.8,≤5.0,17.2,17.9,16.9,≤5.0,45.3,≤5.0,12.7,25.9,18.2,Elementary School,2014-2015
Brookhaven ES,451,58.5,41.5,≤5.0,8.0,36.1,44.1,≤5.0,8.2,≤5.0,36.4,68.3,21.7,Elementary School,2014-2015
Brown Station ES,502,50.2,49.8,≤5.0,7.2,35.1,43.6,≤5.0,8.8,5.2,27.3,70.1,13.5,Elementary School,2014-2015
Burning Tree ES,492,53.9,46.1,≤5.0,19.7,≤5.0,6.3,≤5.0,62.4,7.5,10.8,≤5.0,14.4,Elementary School,2014-2015
Burnt Mills ES,533,50.5,49.5,≤5.0,≤5.0,65.5,21.4,≤5.0,6.0,≤5.0,25.9,68.5,7.7,Elementary School,2014-2015
Burtonsville ES,660,51.1,48.9,≤5.0,15.9,62.3,12.9,≤5.0,5.3,≤5.0,13.6,52.3,5.6,Elementary School,2014-2015
Candlewood ES,331,48.6,51.4,≤5.0,19.9,12.4,20.2,≤5.0,42.6,≤5.0,16.3,21.8,≤5.0,Elementary School,2014-2015
Cannon Road ES,428,54.0,46.0,≤5.0,9.3,40.7,41.1,≤5.0,6.5,≤5.0,14.3,66.6,11.9,Elementary School,2014-2015
Carderock Springs ES,418,52.9,47.1,≤5.0,16.3,≤5.0,8.1,≤5.0,67.5,≤5.0,5.3,≤5.0,7.7,Elementary School,2014-2015
Rachel Carson ES,1007,48.4,51.6,≤5.0,13.6,7.0,18.6,≤5.0,54.0,6.9,12.6,20.6,7.7,Elementary School,2014-2015
Cashell ES,336,50.9,49.1,≤5.0,9.8,12.8,23.8,≤5.0,46.7,6.5,11.3,21.4,11.0,Elementary School,2014-2015
Cedar Grove ES,642,50.5,49.5,≤5.0,36.6,10.4,10.7,≤5.0,36.0,5.6,9.5,12.5,6.5,Elementary School,2014-2015
