school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,Spec. Ed.,level,Year
Bethesda-Chevy Chase HS,2270,50.9,49.1,≤5.0,6.1,14.7,17.6,≤5.0,55.6,5.7,5.9,15.6,7.4,High School,2021-2022
Montgomery Blair HS,3220,53.4,46.5,≤5.0,12.9,24.0,34.3,≤5.0,24.2,≤5.0,16.1,39.6,8.3,High School,2021-2022
James Hubert Blake HS,1815,46.8,53.2,≤5.0,9.9,41.4,29.8,≤5.0,15.3,≤5.0,≤5.0,43.0,9.9,High School,2021-2022
Winston Churchill HS,2245,53.1,46.9,≤5.0,30.6,10.1,7.9,≤5.0,45.3,5.9,≤5.0,5.1,12.6,High School,2021-2022
Clarksburg HS,2365,50.1,49.9,≤5.0,23.6,29.7,24.7,≤5.0,17.0,≤5.0,5.8,32.2,8.8,High School,2021-2022
Damascus HS,1404,49.0,51.0,≤5.0,10.6,13.0,26.3,≤5.0,44.7,5.1,≤5.0,20.4,15.2,High School,2021-2022
Thomas Edison HS of Technology,840,64.4,35.6,≤5.0,≤5.0,19.6,58.1,≤5.0,14.8,≤5.0,19.0,54.4,24.0,High School,2021-2022
Albert Einstein HS,1921,48.9,51.1,≤5.0,6.1,17.5,47.7,≤5.0,24.0,≤5.0,15.6,45.0,12.7,High School,2021-2022
Gaithersburg HS,2359,52.6,47.2,≤5.0,6.4,21.1,57.9,≤5.0,11.6,≤5.0,23.3,55.9,14.7,High School,2021-2022
Walter Johnson HS,2820,52.0,47.8,≤5.0,13.7,11.4,16.9,≤5.0,51.7,5.8,≤5.0,10.6,10.7,High School,2021-2022
John F. Kennedy HS,1788,47.5,52.5,≤5.0,6.5,23.3,63.6,≤5.0,5.2,≤5.0,23.2,61.7,16.8,High School,2021-2022
Col. Zadok Magruder HS,1606,51.1,48.9,≤5.0,13.3,17.7,40.5,≤5.0,23.7,≤5.0,10.8,40.6,13.2,High School,2021-2022
Richard Montgomery HS,2410,49.5,50.5,≤5.0,24.3,16.6,23.9,≤5.0,29.0,5.9,7.4,25.0,7.7,High School,2021-2022
Northwest HS,2598,50.2,49.8,≤5.0,21.2,25.9,22.6,≤5.0,25.2,≤5.0,≤5.0,27.3,8.8,High School,2021-2022
Northwood HS,1708,47.7,52.3,≤5.0,≤5.0,25.6,52.6,≤5.0,13.3,≤5.0,18.3,56.0,11.3,High School,2021-2022
Paint Branch HS,2064,49.4,50.6,≤5.0,12.5,59.0,21.9,≤5.0,≤5.0,≤5.0,≤5.0,47.9,11.0,High School,2021-2022
Poolesville HS,1236,49.8,50.2,≤5.0,34.9,5.9,9.1,≤5.0,44.6,5.3,≤5.0,8.3,6.2,High School,2021-2022
Quince Orchard HS,2091,52.0,48.0,≤5.0,11.7,16.8,29.5,≤5.0,37.7,≤5.0,9.2,31.0,10.3,High School,2021-2022
Rockville HS,1436,55.1,44.9,≤5.0,11.2,14.7,41.6,≤5.0,28.2,≤5.0,10.4,37.0,19.5,High School,2021-2022
Seneca Valley HS,1652,50.8,49.1,≤5.0,10.2,37.3,34.4,≤5.0,12.9,≤5.0,10.0,46.4,14.4,High School,2021-2022
Sherwood HS,1912,52.6,47.3,≤5.0,11.8,15.2,19.0,≤5.0,49.1,≤5.0,9.6,18.3,9.7,High School,2021-2022
