school,Total,Male,Female,X,AM,AS,BL,HI,PI,MU,WH,EML,FARMS,special_ed,Level,Year
Arcola ES,631,51.2,48.8,≤5.0,≤5.0,6.0,18.7,69.3,≤5.0,≤5.0,≤5.0,49.0,77.0,7.9,Elementary School,2021-2022
Ashburton ES,834,48.7,51.3,≤5.0,≤5.0,18.3,16.2,18.0,≤5.0,9.5,37.6,15.9,12.4,9.5,Elementary School,2021-2022
Bannockburn ES,421,48.7,51.3,≤5.0,≤5.0,14.5,6.2,11.4,≤5.0,7.8,60.1,≤5.0,≤5.0,8.8,Elementary School,2021-2022
Lucy V. Barnsley ES,689,53.6,46.4,≤5.0,≤5.0,11.2,13.6,35.7,≤5.0,7.8,30.8,18.3,34.4,12.6,Elementary School,2021-2022
Beall ES,497,52.1,47.9,≤5.0,≤5.0,16.7,12.5,23.5,≤5.0,7.6,39.6,11.1,27.6,11.9,Elementary School,2021-2022
Bel Pre ES,542,51.8,48.2,≤5.0,≤5.0,≤5.0,26.4,58.9,≤5.0,≤5.0,6.8,40.8,69.2,8.3,Elementary School,2021-2022
Bells Mill ES,579,53.9,46.1,≤5.0,≤5.0,26.3,14.7,10.7,≤5.0,7.4,40.8,11.4,13.5,8.5,Elementary School,2021-2022
Belmont ES,338,48.2,51.8,≤5.0,≤5.0,7.4,11.8,12.4,≤5.0,6.5,61.5,5.6,9.8,11.2,Elementary School,2021-2022
Bethesda ES,640,50.3,49.7,≤5.0,≤5.0,19.4,12.3,16.4,≤5.0,8.0,43.8,19.7,15.9,10.2,Elementary School,2021-2022
Beverly Farms ES,545,50.3,49.7,≤5.0,≤5.0,31.6,7.0,7.5,≤5.0,9.0,44.4,11.6,6.6,7.7,Elementary School,2021-2022
Bradley Hills ES,479,53.9,46.1,≤5.0,≤5.0,15.2,≤5.0,8.4,≤5.0,11.1,62.6,5.4,≤5.0,5.8,Elementary School,2021-2022
Brooke Grove ES,442,54.5,45.5,≤5.0,≤5.0,12.0,27.6,18.8,≤5.0,6.6,34.8,13.6,24.7,26.0,Elementary School,2021-2022
Brookhaven ES,422,49.5,50.5,≤5.0,≤5.0,8.1,27.3,52.8,≤5.0,≤5.0,7.1,32.5,66.8,19.4,Elementary School,2021-2022
Brown Station ES,604,51.8,48.2,≤5.0,≤5.0,10.9,18.9,59.1,≤5.0,≤5.0,7.3,38.2,64.9,14.4,Elementary School,2021-2022
Burning Tree ES,405,52.8,47.2,≤5.0,≤5.0,22.7,8.4,9.1,≤5.0,8.4,51.1,13.1,7.2,22.2,Elementary School,2021-2022
Burnt Mills ES,596,50.0,50.0,≤5.0,≤5.0,6.9,54.5,25.8,≤5.0,5.2,7.4,17.8,69.0,9.2,Elementary School,2021-2022
Burtonsville ES,603,51.6,48.4,≤5.0,≤5.0,11.1,63.2,18.7,≤5.0,≤5.0,≤5.0,14.9,47.9,6.5,Elementary School,2021-2022
Candlewood ES,366,56.0,44.0,≤5.0,≤5.0,16.7,14.2,18.6,≤5.0,9.0,41.3,19.9,23.5,10.4,Elementary School,2021-2022
Cannon Road ES,391,55.2,44.8,≤5.0,≤5.0,10.7,34.3,46.3,≤5.0,≤5.0,≤5.0,16.9,62.7,24.3,Elementary School,2021-2022
Carderock Springs ES,321,54.8,45.2,≤5.0,≤5.0,17.4,7.2,14.3,≤5.0,9.3,51.4,7.5,≤5.0,11.8,Elementary School,2021-2022
Rachel Carson ES,682,55.1,44.9,≤5.0,≤5.0,18.8,8.1,20.5,≤5.0,6.7,45.7,16.0,21.4,8.8,Elementary School,2021-2022
Cashell ES,321,52.0,48.0,≤5.0,≤5.0,5.9,15.3,24.6,≤5.0,12.5,41.7,9.3,25.9,17.8,Elementary School,2021-2022
Cedar Grove ES,382,48.4,51.6,≤5.0,≤5.0,41.6,16.5,12.3,≤5.0,6.0,23.3,11.5,12.6,15.7,Elementary School,2021-2022
Chevy Chase ES,456,50.9,49.1,≤5.0,≤5.0,10.7,22.4,9.4,≤5.0,6.1,51.3,9.2,22.1,5.9,Elementary School,2021-2022
Clarksburg ES,771,55.0,45.0,≤5.0,≤5.0,37.0,30.0,14.9,≤5.0,6.5,11.2,19.3,21.8,9.7,Elementary School,2021-2022
Clearspring ES,558,49.8,50.2,≤5.0,≤5.0,14.7,19.2,24.6,≤5.0,6.3,34.8,9.1,36.7,15.2,Elementary School,2021-2022
Clopper Mill ES,440,51.4,48.6,≤5.0,≤5.0,9.5,32.7,47.0,≤5.0,≤5.0,5.9,26.1,63.2,15.7,Elementary School,2021-2022
