School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED
Arcola ES,693,50.8,49.2,≤5.0,8.5,18.2,69.7,≤5.0,≤5.0,≤5.0,46,74.7,10.5
Ashburton ES,907,52,48,≤5.0,16.2,14.8,14,≤5.0,45,9.4,14.9,11.8,12.8
Bannockburn ES,420,53.1,46.9,≤5.0,11,≤5.0,10,≤5.0,67.4,9,11,≤5.0,≤5.0
Lucy V. Barnsley ES,710,57.7,42.3,≤5.0,13.7,9.6,31.5,≤5.0,38.2,7,13.4,27.6,15.2
Beall ES,824,53.9,46.1,≤5.0,22.5,13.5,21.4,≤5.0,35.6,6.7,17.5,27.3,9.2
Bel Pre ES,574,55.6,44.4,≤5.0,7.8,36.8,46,≤5.0,5.7,≤5.0,51.6,71.4,7
Bells Mill ES,626,49.4,50.6,≤5.0,26.4,10.7,10.1,≤5.0,46.3,6.4,12.1,11,9.4
Belmont ES,314,49,51,≤5.0,7.3,≤5.0,10.5,≤5.0,72.6,≤5.0,≤5.0,6.1,8.3
Bethesda ES,556,54.5,45.5,≤5.0,14.7,6.5,9.9,≤5.0,62.2,6.7,17.4,7.6,12.1
Beverly Farms ES,597,49.7,50.3,≤5.0,29.5,7.7,9.7,≤5.0,46.4,6.5,8,6.2,7.4
Bradley Hills ES,626,52.4,47.6,≤5.0,10.5,≤5.0,9.9,≤5.0,67.1,10.9,7,≤5.0,≤5.0
Brooke Grove ES,386,49.2,50.8,≤5.0,15.8,19.9,14.5,≤5.0,46.4,≤5.0,11.9,22.5,19.9
Brookhaven ES,443,56.7,43.3,≤5.0,6.8,33.6,48.1,≤5.0,8.8,≤5.0,38.6,68.6,19.6
Brown Station ES,499,52.5,47.5,≤5.0,11.4,33.1,43.7,≤5.0,6.4,5.2,31.9,68.7,13
Burning Tree ES,497,56.7,43.3,≤5.0,17.9,≤5.0,7.4,≤5.0,60.4,9.5,12.9,6,16.7
Burnt Mills ES,531,51.8,48.2,≤5.0,≤5.0,63.3,22.2,≤5.0,7.2,≤5.0,26.4,66.7,8.7
Burtonsville ES,613,55.5,44.5,≤5.0,14.2,61.8,14.8,≤5.0,5.5,≤5.0,11.6,47.3,≤5.0
Candlewood ES,356,50,50,≤5.0,19.1,13.8,21.3,≤5.0,40.2,5.1,15.2,23,6.2
Cannon Road ES,434,53,47,≤5.0,8.8,39.6,44.7,≤5.0,≤5.0,≤5.0,10.6,66.1,10.8
Carderock Springs ES,406,51,49,≤5.0,17,≤5.0,8.4,≤5.0,66,5.2,7.4,≤5.0,9.4
Rachel Carson ES,1046,48.9,51.1,≤5.0,15.3,6.3,20.5,≤5.0,50.8,7.2,14.1,20.5,9.9
Cashell ES,369,52.3,47.7,≤5.0,9.5,12.5,23,≤5.0,46.3,8.7,9.2,23.3,13.8
Cedar Grove ES,582,50,50,≤5.0,39.3,10,10.5,≤5.0,33.8,6,8.9,9.3,8.1
Chevy Chase ES,558,50.9,49.1,≤5.0,6.6,14.9,10.6,≤5.0,62.2,5.7,9,17.7,6.3
Clarksburg ES,309,54,46,≤5.0,34.6,17.5,14.9,≤5.0,24.9,7.8,12.9,13.6,8.4
Clearspring ES,624,55.4,44.6,≤5.0,14.7,15.2,20.5,≤5.0,40.2,9.3,10.4,29.8,14.3
Clopper Mill ES,488,48.8,51.2,≤5.0,6.1,36.3,44.9,≤5.0,8.4,≤5.0,25.2,68.4,12.1
Cloverly ES,466,56,44,≤5.0,17.8,22.7,20.8,≤5.0,29.8,8.6,12.9,23.2,17.6
Cold Spring ES,333,52.6,47.4,≤5.0,40.2,≤5.0,7.8,≤5.0,41.1,6.9,≤5.0,≤5.0,≤5.0
College Gardens ES,888,51.1,48.9,≤5.0,21.1,18.5,15.2,≤5.0,37.6,7.1,17.7,14.1,5.2
Cresthaven ES,510,53.9,46.1,≤5.0,13.9,35.7,45.7,≤5.0,≤5.0,≤5.0,25.9,77.1,13.3
Capt. James E. Daly ES,596,47.7,52.3,≤5.0,7.6,35.2,45.3,≤5.0,8.2,≤5.0,39.3,71.3,10.4
Damascus ES,336,42.9,57.1,≤5.0,≤5.0,6.3,26.5,≤5.0,56.8,6.3,17.6,26.8,14.9
Darnestown ES,287,53,47,≤5.0,9.4,≤5.0,5.9,≤5.0,74.2,5.6,≤5.0,7.3,5.9
Diamond ES,665,52.8,47.2,≤5.0,44.5,9.6,12.3,≤5.0,28.9,≤5.0,24.7,10.2,9.8
Dr. Charles R. Drew ES,488,51,49,≤5.0,17.8,44.9,21.1,≤5.0,9.4,6.6,20.9,50,12.9
DuFief ES,313,49.5,50.5,≤5.0,31,7.3,12.1,≤5.0,42.8,6.7,12.5,14.4,23.6
East Silver Spring ES,554,50.9,49.1,≤5.0,≤5.0,56,20.4,≤5.0,15.7,≤5.0,31,55.6,12.6
Fairland ES,643,48.8,51.2,≤5.0,8.1,56.6,24.6,≤5.0,7.8,≤5.0,22.7,57.5,9.3
Fallsmead ES,535,51.2,48.8,≤5.0,32.7,6.9,8,≤5.0,46.2,5.8,12,8.4,6.4
Farmland ES,686,53.6,46.4,≤5.0,32.5,5.2,9,≤5.0,47.7,5.2,32.8,7.3,8.5
Fields Road ES,464,51.1,48.9,≤5.0,15.5,20.9,28.2,≤5.0,30.2,≤5.0,22.2,41.8,11.6
Flower Hill ES,493,56.2,43.8,≤5.0,13,30.8,44,≤5.0,8.1,≤5.0,35.9,64.9,15.4
Flower Valley ES,496,50.8,49.2,≤5.0,10.5,14.3,24.6,≤5.0,45.4,5.2,16.9,28.2,15.3
Forest Knolls ES,753,53.1,46.9,≤5.0,7.3,14.6,41.3,≤5.0,31.1,5.7,22.7,37.5,9.7
Fox Chapel ES,635,52.8,47.2,≤5.0,17,26.5,42.8,≤5.0,10.1,≤5.0,32.4,53.2,7.6
Gaithersburg ES,863,53.5,46.5,≤5.0,≤5.0,15.8,73.8,≤5.0,5.1,≤5.0,48,84,11.1
Galway ES,807,53.2,46.8,≤5.0,10,58.1,23.9,≤5.0,≤5.0,≤5.0,31.2,60,10.5
Garrett Park ES,797,54,46,≤5.0,16.1,12.9,20.1,≤5.0,43.3,7.3,22.7,16.3,6.4
Georgian Forest ES,585,53.5,46.5,≤5.0,6.7,27.9,53.5,≤5.0,8.7,≤5.0,32.6,77.8,10.6
Germantown ES,318,55.7,44.3,≤5.0,18.6,32.4,24.8,≤5.0,19.5,≤5.0,12.6,35.5,16.7
"William B. Gibbs, Jr. ES",744,50.5,49.5,≤5.0,29.3,25.7,16.9,≤5.0,20.3,7.8,12.6,35.2,13.8
Glen Haven ES,551,47.7,52.3,≤5.0,8.7,22.5,50.3,≤5.0,15.2,≤5.0,30.5,62.3,11.8
Glenallan ES,664,52.4,47.6,≤5.0,7.7,34.3,47.3,≤5.0,8.1,≤5.0,26.1,66.3,11.4
Goshen ES,575,52.3,47.7,≤5.0,10.8,25.6,35,≤5.0,22.4,5.9,19.5,43.7,12.5
Great Seneca Creek ES,698,51.6,48.4,≤5.0,12.3,29.7,26.2,≤5.0,26.1,5.4,13.3,38.1,10.6
Greencastle ES,759,53,47,≤5.0,7.4,69,19.4,≤5.0,≤5.0,≤5.0,15.4,64.8,10
Greenwood ES,477,48.8,51.2,≤5.0,9.4,7.5,10.3,≤5.0,65.4,7.3,6.7,8.8,7.1
Harmony Hills ES,743,51,49,≤5.0,5.2,16.2,74.3,≤5.0,≤5.0,≤5.0,51.5,87.3,9.7
Highland ES,558,53.9,46.1,≤5.0,≤5.0,14.3,71.3,≤5.0,5.9,≤5.0,52.9,79.4,10.8
Highland View ES,408,52.9,47.1,≤5.0,≤5.0,24.8,32.6,≤5.0,35.3,≤5.0,34.8,48,6.4
Jackson Road ES,691,52.5,47.5,≤5.0,9.1,53.1,32.6,≤5.0,≤5.0,≤5.0,28.2,78.4,13.5
Jones Lane ES,466,52.8,47.2,≤5.0,9.7,12.7,24.2,≤5.0,47,6,17.4,27.7,14.6
Kemp Mill ES,530,49.1,50.9,≤5.0,≤5.0,17.2,72.3,≤5.0,≤5.0,≤5.0,51.9,77.2,8.9
Kensington Parkwood ES,644,51.1,48.9,≤5.0,5.3,≤5.0,10.6,≤5.0,70.8,8.5,6.8,5.3,11.8
Lake Seneca ES,502,51.6,48.4,≤5.0,6.6,38.4,31.9,≤5.0,17.3,5.8,21.7,55.6,18.7
